0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
598;1749;Jan van Cralingen;Elisabeth de Bruyn;Jan van Cralingen & Elisabeth de Bruyn;De Broen;Amsterdam;Gerred de Broen ;Clara de Bruyn ;Jacob P.B.B. Freni ;Jacob Campen ;Pieter van den Bosch ;;;;;;;;;;;;;;;;;
599;1736;Jan Hendrik Cramer;Clara Maria Christoffers;Jan Hendrik Cramer & Clara Maria Christoffers;De Broen;Amsterdam;Gerard Bouricius ;Jacob Coenraadsz Christoffers ;C. Christoffers ;Lambert van den Broek ;Jan Christoffers ;;;;;;; ;;;;;;;;;;
600;1697;Joannes Danser;Catharina van der Meersch;Joannes Danser & Catharina van der Meersch;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
601;1634;Gerret Danys;Maeyken Hendericks;Gerret Danys & Maeyken Hendericks;Vincent I Casteleyn;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
602;1742;Arnout Dederiks;Sara Susanna Couck;Arnout Dederiks & Sara Susanna Couck;De Broen;;J.H. J.C.;;;;;;;;;;;;;;;;;;;;;
603;1757;Joannes Franciscus Delsing;Maria Catharina van Houtum;Joannes Franciscus Delsing & Maria Catharina van Houtum;Theodorus Crajenschot;Amsterdam;E.F. Pelgrom ;Reynier van Houtum ;Lucas Pater ;Henri Jean Roullaud ;;;;;;;;;;;;;;;;;;
604;1629;Daniel Des Ruelles;Willemtge van Bengevoort;Daniel Des Ruelles & Willemtge van Bengevoort;Jacob Aertsz Colom;;B. Des Ruelles ;Jacob Jansz Colevelt ;;;;;;;;;;;;;;;;;;;;
605;1639;Aernout Dieprinck;Aeltjen Lenaerts;Aernout Dieprinck & Aeltjen Lenaerts;Joost Broersz;Amsterdam;de Boer ;;;;;;;;;;;;;;;;;;;;;
606;1648;Johannes Dierten;Adriana Kessels;Johannes Dierten & Adriana Kessels;Simon Cornelisz Brekegeest;Arnhem;;;;;;;;;;;;;;;;;;;;;;
607;1611;Jan Pietersz van Dijck;Aefgen Jans Ops;Jan Pietersz van Dijck & Aefgen Jans Ops;Hendrick Barentsz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
608;1721;Jan van Dinteren;Susanna Coleprys;Jan van Dinteren & Susanna Coleprys;Willem Barents;Amsterdam;George Wetstein ;Jan van Dinteren ;;;;;;;;;;;;;;;;;;;;
609;1660;Willem Dirksz;Guurtje Pieters;Willem Dirksz & Guurtje Pieters;Rem Jansz Boerman;;J.D. Rompel ;;;;;;;;;;;;;;;;;;;;;
610;1651;Gillis van Dulken;Janneken de Buus;Gillis van Dulken & Janneken de Buus;Boeteman;Amsterdam;Jacob Steendam ;;;;;;;;;;;;;;;;;;;;;
611;1727;Zacharias van Dulmen;Cornelia Wibbert;Zacharias van Dulmen & Cornelia Wibbert;Jacob ter Beek;Amsterdam;Petrus J.M. Smids ;;;;;;;;;;;;;;;;;;;;;
612;1692;Damiaan van Duren;Barbera Strockels;Damiaan van Duren & Barbera Strockels;Arnoldus Curtenius;;D. van Setten ;;;;;;;;;;;;;;;;;;;;;
613;1651;Eylardus van Duren;Jakoba van Boekholt;Eylardus van Duren & Jakoba van Boekholt;Jan Colomp;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
614;1723;Cornelis van der Dussen;Margareta Berck;Cornelis van der Dussen & Margareta Berck;Joannes van Braam;Amsterdam;Cornelis Vrolikhert ;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;
615;1732;Jacob van der Dussen (1710-1772);Catharina van Vredenburg;Jacob van der Dussen (1710-1772) & Catharina van Vredenburg;Reinier Boitet;Amsterdam;Gerardus Schroder ;Jacob Pompe van Meerdervoort ;Johannes Anthonius van Kinschot ;Diderik van Bleiswyk ;Hubert Kornelisz Poot ;Nicolaas van der Dussen (1718-1770);; ; ;;;;;;;;;;;;;
616;1642;Wouter van der Dussen;Johanna de Jong;Wouter van der Dussen & Johanna de Jong;Matthijs (wed) Bastiaensz;;;;;;;;;;;;;;;;;;;;;;;
617;1640;Salomon Echtenius;Magdalena Clock;Salomon Echtenius & Magdalena Clock;Marten Jansz Brandt;Leiden;Henricus Du Rulaeus ;Jacobus Bois ;;;;;;;;;;;;;;;;;;;;
618;1718;Jacob Eck;Aletta van de Wall;Jacob Eck & Aletta van de Wall;Johann (erven) Cattepoel;;W. W.E. Eck ;;;;;;;;;;;;;;;;;;;;;
619;1718;Jacob Eck;Aletta van de Wall;Jacob Eck & Aletta van de Wall;Johann (erven) Cattepoel;;J.C.A. J.H.B.R.;;;;;;;;;;;;;;;;;;;;;
620;1683;Egbert Edens;Elizabet de Flines;Egbert Edens & Elizabet de Flines;Barent Bos;Alkmaar;Joannes Antonides van der Goes ;;;;;;;;;;;;;;;;;;;;;
621;1695;Jakobus Erkelens;Joanna Françoise de Baats;Jakobus Erkelens & Joanna Françoise de Baats;Herman Aeltsz;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
622;1748;Theodorus Henricus Erkelens;Maria Sasselee;Theodorus Henricus Erkelens & Maria Sasselee;Theodorus Crajenschot;Leiden;J.E. Sasselee ;;;;;;;;;;;;;;;;;;;;;
623;1662;Jan Janssen Ernst;Hillegontje Pieters;Jan Janssen Ernst & Hillegontje Pieters;Abraham Jacobsz van der Beeck;Amsterdam;Ocke Jeyes ;;;;;;;;;;;;;;;;;;;;;
624;1734;Lukas van Esbeek;Maria Hurgronje;Lukas van Esbeek & Maria Hurgronje;Petrus Dathenus;Utrecht;Maximiliaan Vermeere ;Petrus Dathenus ;;;;;;;;;;;;;;;;;;;;
625;1733;Henricus Fagel (1706-1790);Catharina Anna Sluysken;Henricus Fagel (1706-1790) & Catharina Anna Sluysken;Isaac Beauregard;Vlissingen;H. de La Riviere ;;;;;;;;;;;;;;;;;;;;;
626;1717;Cornelis van Gaasbeecq;Johanna Aletta Beernink;Cornelis van Gaasbeecq & Johanna Aletta Beernink;Johannis van Bosvelt;Muiden;Jacobus de Groot ;;;;;;;;;;;;;;;;;;;;;
627;1673;Jaspar van Gent;Gouda Willing;Jaspar van Gent & Gouda Willing;Broer en Jan Appelaer;De Rijp;Philippe Serrurier ;;;;;;;;;;;;;;;;;;;;;
628;1614;Jan Geurtsz;Machteltgen Claes;Jan Geurtsz & Machteltgen Claes;Gerrit Hendricxsz van Breughel;;;;;;;;;;;;;;;;;;;;;;;
629;1632;Joost Ghijs;Janneken de Hont;Joost Ghijs & Janneken de Hont;Willem Christiaens van der Boxe;Rotterdam;;;;;;;;;;;;;;;;;;;;;;
630;1695;Jacob Alewynsz Ghysen;Juliana van der Schelling;Jacob Alewynsz Ghysen & Juliana van der Schelling;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
631;1758;Jacob Louis Gilles;Geertrudis Maria Roest;Jacob Louis Gilles & Geertrudis Maria Roest;Theodorus Crajenschot;Amsterdam;C.J. Gilles ;;;;;;;;;;;;;;;;;;;;;
632;1752;Jean Philip Gillis;Maria Agnes Michel;Jean Philip Gillis & Maria Agnes Michel;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
633;1760;Jaques Giraudet;Esther Pecheur;Jaques Giraudet & Esther Pecheur;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
634;1723;Jeronimus van Goor;Geertruda Kleene;Jeronimus van Goor & Geertruda Kleene;Willem Barents;Amsterdam;D. Kleene ;Jan van Dinteren ;Jacobus de George Swaan ;Gijsbert Tysens ;;;;;;;;;;;;;;;;;;
635;1633;Cornelis de Graeff;Geertruid Overlander;Cornelis de Graeff & Geertruid Overlander;Blaeu;Amsterdam;Caspar Barlaeus ;;;;;;;;;;;;;;;;;;;;;
636;1720;Abraham Gronovius;Dorothea Wynanda van Wyck;Abraham Gronovius & Dorothea Wynanda van Wyck;Thomas Appels;Hoorn;Balthazar Huydecoper ;;;;;;;;;;;;;;;;;;;;;
637;1642;Outger Maertensz Groot;Maria Cornelisd Berckhout;Outger Maertensz Groot & Maria Cornelisd Berckhout;Isaac Willemsz van der Beeck;Amsterdam;I. Groot ;;;;;;;;;;;;;;;;;;;;;
638;1677;Pieter Haak van Hoven;Margareta Tael;Pieter Haak van Hoven & Margareta Tael;Johannes Dale;Leiden;;;;;;;;;;;;;;;;;;;;;;
639;1699;Arnoud van Haalen;Margareta Rooleeuw;Arnoud van Haalen & Margareta Rooleeuw;Boeteman;;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
640;1698;Matthys de Haan;Suzanna Teyler;Matthys de Haan & Suzanna Teyler;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
641;;Philips van Haarlem;Maria Vingerhoedt;Philips van Haarlem & Maria Vingerhoedt;Joannes van Braam;Amsterdam;François van Bochoven ;Joannes van Braam ;Blasius van Slingeland ;;;;;;;;;;;;;;;;;;;
642;1710;Theodoor van Haarsolte;Joachimyn Elisabeth van Rechteren;Theodoor van Haarsolte & Joachimyn Elisabeth van Rechteren;Arnoldus (wed) Curtenius;Amsterdam;Maximilianus van Offenberg ;;;;;;;;;;;;;;;;;;;;;
643;1698;Abraham van Halmael;Wynanda van Aken;Abraham van Halmael & Wynanda van Aken;Boeteman;Rotterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
644;1748;Hermannus Ulricus Hamerster;Maria van der Burch;Hermannus Ulricus Hamerster & Maria van der Burch;Reinier Boitet;;Franc van der Burch ;Johannes Kalkoen ;Petrus Hofstede ;Johannes Eusebius Voet ;Henricus Gualtherus Bornman ;Ludovicus Kluyt ;Josua van Iperen ;Goswyn Schluiter ;Joannes Badon ;;;;;;;;;;;;;
645;1699;Cornelis Hartwyk;Johanna Dijna Muysken;Cornelis Hartwyk & Johanna Dijna Muysken;Hendrik van I (wed) Damme;;P. de Vogel ;;;;;;;;;;;;;;;;;;;;;
646;1760;Arent van Hasselt;Maria Elizabeth Scharff;Arent van Hasselt & Maria Elizabeth Scharff;Boom;Amsterdam;Geertruij Adriana Scharff ;Adolff Scharff ;Nicolaas van Staphorst ;Gerard Bullens Voogt ;Jacob van Staphorst ;Hermannus Gerardus Oosterdyk ;Hendrik Matthijsz Lussing ;Pieter Voltelen ;van Hasselt ;Arend van Staphorst ;;;;;;;;;;;;
647;1721;Abraham Hazeu;Sara Rotteveel;Abraham Hazeu & Sara Rotteveel;Reinier Boitet;Amsterdam;J. van der Tas van Yzenberg ;Tileman Tamé ;;;;;;;;;;;;;;;;;;;;
648;1722;Adriaan Heckenhoek;Maria Margareta van Ryp;Adriaan Heckenhoek & Maria Margareta van Ryp;Joannes van Braam;;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;;
649;1733;Feyo van Heemstra;Titia Helena van Burmania;Feyo van Heemstra & Titia Helena van Burmania;Tobias van Dessel;;M. Wagenveld ;;;;;;;;;;;;;;;;;;;;;
650;1729;Jan Held;Sofia van Laar;Jan Held & Sofia van Laar;Hendrik Bosch;Amsterdam;Gijsbert Tysens ;;;;;;;;;;;;;;;;;;;;;
651;1611;Willem Hendericxsen;Annetgen Pieters Spiegels;Willem Hendericxsen & Annetgen Pieters Spiegels;Gerrit Hendricxsz van Breughel;Amsterdam;Jan Sieuwertsz Kolm ;;;;;;;;;;;;;;;;;;;;;
652;1617;Jan Hendricksoon;Chatarina Martens;Jan Hendricksoon & Chatarina Martens;Gerrit Hendricxsz van Breughel;Den Haag;Jan Sieuwertsz Kolm ;;;;;;;;;;;;;;;;;;;;;
653;1609;Cornelius Hensbekius;Eva Bennings;Cornelius Hensbekius & Eva Bennings;Thomas Basson;Breda;Joachim Cranendonck ;;;;;;;;;;;;;;;;;;;;;
654;1709;Wilhelm Heuvel;Johanna Maria Reckop;Wilhelm Heuvel & Johanna Maria Reckop;Johann (erven) Cattepoel;Haarlem;J.B. A.Blu. A.B.;Hendrick A. Benseler ;;;;;;;;;;;;;;;;;;;;
655;1705;Arnoldus Hinlopen;Charlotte Amelia Daams;Arnoldus Hinlopen & Charlotte Amelia Daams;Willem de Coup;Amsterdam;Adolf L.C. Reets ;;;;;;;;;;;;;;;;;;;;;
656;1751;Jan van den Hoed;Cornelia Branger;Jan van den Hoed & Cornelia Branger;Theodorus Crajenschot;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
657;1725;Simon Nikolaas de Hoest;Kornelia Mensert;Simon Nikolaas de Hoest & Kornelia Mensert;Reinier Boitet;;J. de Hoest ;;;;;;;;;;;;;;;;;;;;;
658;1743;Pieter Hoeufft;Adriana van den Broucke;Pieter Hoeufft & Adriana van den Broucke;Joannes van Braam;Amsterdam;Jacob Spex ;Joannes van Braam ;;;;;;;;;;;;;;;;;;;;
659;1727;Hubertus Hoevenaar;Johanna van Buren;Hubertus Hoevenaar & Johanna van Buren;Reinier Boitet;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
660;1730;Hendrik Hoffham;Geertruyd Hoffham;Hendrik Hoffham & Geertruyd Hoffham;Gerrit Bouman;Amsterdam;Gerard Hoffham ;P. Hoffham ;Johannes Meyer ;J. Spanjert ;Dirk Jemans ; ;;;;;;;;;;;;;;;;
661;1655;Abraham Hoffman;Haesjen Commerts Smerenstein;Abraham Hoffman & Haesjen Commerts Smerenstein;Willem Christiaens van der Boxe;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
662;1618;Thomas Jacobsz Hoing;Brechtken Pieters Vinck;Thomas Jacobsz Hoing & Brechtken Pieters Vinck;Marten Jansz Brandt;Amsterdam;Henricus Velthusius ;;;;;;;;;;;;;;;;;;;;;
663;1694;Pieter van Hole;Hester van Ravesteyn;Pieter van Hole & Hester van Ravesteyn;Willem van Bloemen;Middelburg;J. Lindenbergh ;;;;;;;;;;;;;;;;;;;;;
664;1704;Petrus Hollebeek;Magteld Scholten;Petrus Hollebeek & Magteld Scholten;Andries van Damme;Amsterdam;Adriaan Pars ;;;;;;;;;;;;;;;;;;;;;
665;1758;Jan Damasz Hooft;Magtilda Gerardina Geerling;Jan Damasz Hooft & Magtilda Gerardina Geerling;Abraham Blussé;Amsterdam;Jeremias Hollebeek ;Kornelis van Slingeland ;Abraham Blussé ;;;;;;;;;;;;;;;;;;;
666;1627;Pieter Cornelisz Hooft;Eleonora Hellemans;Pieter Cornelisz Hooft & Eleonora Hellemans;Govert Basson;Amsterdam;Caspar Barlaeus ;;;;;;;;;;;;;;;;;;;;;
667;1627;Pieter Cornelisz Hooft;Eleonora Hellemans;Pieter Cornelisz Hooft & Eleonora Hellemans;Blaeu;Nieuwendam;Constantijn Huygens ;;;;;;;;;;;;;;;;;;;;;
668;1745;Hendrik van der Hooght;Anna Maria de Melander;Hendrik van der Hooght & Anna Maria de Melander;De Broen;Utrecht;Gerred de Broen ;J. de Melander ;Isaac de Melander ;J. van der Hooght ;Hendrik jr Graauwhart ;J.B.;;;;;; ;;;;;;;;;;
669;1679;Daniel van Hoorn;Anna Hennebo;Daniel van Hoorn & Anna Hennebo;Cornelis Blommesteyn;Rotterdam;Pieter Boudery ;;;;;;;;;;;;;;;;;;;;;
670;1719;Johannes Hooykaas;Katharina de Vois;Johannes Hooykaas & Katharina de Vois;Jacobus Borstius;Tholen;Hendrik Fouree ;;;;;;;;;;;;;;;;;;;;;
671;1730;Izaak Hope;Maria van Vlierden;Izaak Hope & Maria van Vlierden;Nicolaas (wed) Bos;;;;;;;;;;;;;;;;;;;;;;;
672;1615;Lenaert Hosman;Sara de Witte;Lenaert Hosman & Sara de Witte;Gerrit Hendricxsz van Breughel;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
673;1751;Reynier van Houtum;Elisabeth Maria Delsing;Reynier van Houtum & Elisabeth Maria Delsing;Theodorus Crajenschot;;Maria Cornelia van den Idsert ;J. Delsing ;Cornelis de Wolff ;Gerard Muyser ;Henri Jean Roullaud ;Bernardus Beeke;Johannes Meyer ;Lucas Pater ;;;;;;;;;;;;;;
674;1745;Gerard Hugaert;Femina Heems;Gerard Hugaert & Femina Heems;Jan Bosch;Dordrecht;Femina Heems ;Abraham Heems ;Jacob Hoofman ;Adriaan Spinniker ;Pieter Langendyk ;Willem Philipsz Kops ;Jan Olthoff ;Jan Bosch ; ;;;;;;;;;;;;;
675;1750;Willem Theodorus Huygens;Henrietta Cornelia van Marselis;Willem Theodorus Huygens & Henrietta Cornelia van Marselis;De Broen;Utrecht;Nicolaas Faas ;Pieter van den Bosch ;;;;;;;;;;;;;;;;;;;;
676;1601;Nicolaas van Hyc;Margareta van den Berch;Nicolaas van Hyc & Margareta van den Berch;Thomas Basson;Haarlem;Joachim Cranendonck ;;;;;;;;;;;;;;;;;;;;;
677;1710;Adriaan Ingelbrechts;Sara van Tarelink;Adriaan Ingelbrechts & Sara van Tarelink;Willem Doornick;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
678;1622;Broer Jansz;Elizabeth Philipsd;Broer Jansz & Elizabeth Philipsd;Gerrit Hendricxsz van Breughel;Amsterdam;Gerrit Hendricxsz van Breughel ;;;;;;;;;;;;;;;;;;;;;
679;1646;Cornelis Jansz;Brechjen Claesd;Cornelis Jansz & Brechjen Claesd;Van Dorp;Leiden;;;;;;;;;;;;;;;;;;;;;;
680;1722;Rynerus Kelderman;Henrica Wierman;Rynerus Kelderman & Henrica Wierman;Adriaan van Boekholt;Amsterdam;Willem Kelderman ;;;;;;;;;;;;;;;;;;;;;
681;1748;Clemens August Maria van Kerckerinck;Isabella Louisa de Surmont;Clemens August Maria van Kerckerinck & Isabella Louisa de Surmont;Theodorus Crajenschot;Heemstede;;;;;;;;;;;;;;;;;;;;;;
682;1752;Jan Willem Kerkhoven;Catharina Margaretha Smit;Jan Willem Kerkhoven & Catharina Margaretha Smit;Theodorus Crajenschot;Breukelen;Anna Maria Beukelaar geb. Kerkhoven ;Pieter Kerkhoven ;J. van den Kommer ;Pieter Bol ;Johannes Meyer ;Anthony Spatsier ;Adriaan Koning ;Henri Jean Roullaud ;;;;;;;;;;;;;;
683;1731;Theodorus Kerkman;Maria Timmers;Theodorus Kerkman & Maria Timmers;Boudewijn Janssoon van der II Aa;Haarlem;Reinier Oortman ;;;;;;;;;;;;;;;;;;;;;
684;1712;Jan Jz van Keulen;Margareta Thin;Jan Jz van Keulen & Margareta Thin;Boeteman;Amsterdam;Ludowina Konst ;Izak Thin ;Everhard Kraeyvanger ;Kornelis Jongerhelt ;T. van Sadelhof ;J.F.;;;;;;;;;;;;;;;;
685;1724;Jacob der Kinderen;Margareta van Vledder;Jacob der Kinderen & Margareta van Vledder;Hendrik Bosch;;Adam der Kinderen ;Maria Huygens ;Govert van Mater ;;;;;;;;;;;;;;;;;;;
686;1725;Gaspar Rudolf van Kinschot;Catharina Maria Dedel;Gaspar Rudolf van Kinschot & Catharina Maria Dedel;Reinier Boitet;Amsterdam;Johannes Carolus Schröder ;Joannes van Dam ;Johannes Anthonius van Kinschot ;Hubert Kornelisz Poot ;;;;;;;;;;;;;;;;;;
687;1619;Reyer Klaeszoon;Hester Willemsd;Reyer Klaeszoon & Hester Willemsd;Abraham Biestkens;;;;;;;;;;;;;;;;;;;;;;;
688;1690;Floris Koopman;Cathrina Burgh;Floris Koopman & Cathrina Burgh;Elbert Beukelman;Amsterdam;Jacobus Velten ;;;;;;;;;;;;;;;;;;;;;
689;1744;Wynand Koopman;Helena Margareta Slebosch;Wynand Koopman & Helena Margareta Slebosch;Jan Servaas Bosch;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
690;1755;Philip Kops;Hester Barnaart;Philip Kops & Hester Barnaart;Jan Bosch;Amsterdam;Willem Kops ;Pieter Langendyk ;Jan Olthoff ;;;;;;;;;;;;;;;;;;;
691;1752;Willem Philipsz Kops;Catharina van Vollenhoven;Willem Philipsz Kops & Catharina van Vollenhoven;Jan Bosch;;Pieter Langendyk ;Anthony Hartsen ;Jan Olthoff ;Jan van Varelen ;Lucretia Wilhelmina van Merken ;;;;;;;;;;;;;;;;;
692;1757;Guilleaume Bernabé Pietersz de Labat;Elizabeth Adriana Hoffham;Guilleaume Bernabé Pietersz de Labat & Elizabeth Adriana Hoffham;De Broen;Amsterdam;A. de Labat ;Gerred de II Broen ;Hendrik Hoffham ;J. Hoffham ;Jan Hartgers Asschenberg ;Marcus van Arp ;J.W. van Arp ;Daniel Hendrik Stephan ;;;;;;;;;;;;;;
693;1667;Henrick Lampe;Catharina Maria van de Ven;Henrick Lampe & Catharina Maria van de Ven;Daniel Bakkamude;Amsterdam;Pieter de Wit ;;;;;;;;;;;;;;;;;;;;;
694;1752;Jan Cornelis Lampsins;Margaretha Sautyn;Jan Cornelis Lampsins & Margaretha Sautyn;Theodorus Crajenschot;Amsterdam;Henri Jean Roullaud ;;;;;;;;;;;;;;;;;;;;;
695;1710;Gysbert de Lange;Maria de Wilde;Gysbert de Lange & Maria de Wilde;Pieter van den II Berge;Amsterdam;David van Hoogstraten ;François Halma ;David de Koning ;Mattheus van Hoogstraten ;Pieter van den II Berge ;;;;;;;;;;;;;;;;;
696;1718;Fredrick Robert van Lathum;Susanna van de Wall;Fredrick Robert van Lathum & Susanna van de Wall;Johann (erven) Cattepoel;Amsterdam;Hendrick A. Benseler ;;;;;;;;;;;;;;;;;;;;;
697;1724;Jan van der Leeden;Regina Putter;Jan van der Leeden & Regina Putter;Willem Barents;Amsterdam;Jan T.S. Ys ;Gijsbert Tysens ;Willem Barents ;;;;;;;;;;;;;;;;;;;
698;1701;David Leeuw;Kornelia Hooft;David Leeuw & Kornelia Hooft;Arentsz;Utrecht;Adriaan Spinniker ;;;;;;;;;;;;;;;;;;;;;
699;1752;Gijsbert van Leeuwen;Anna Maria Teerink;Gijsbert van Leeuwen & Anna Maria Teerink;De Broen;Den Haag;;;;;;;;;;;;;;;;;;;;;;
700;1739;Abraham van Lelyveld;Petronella Johanna de La Coste;Abraham van Lelyveld & Petronella Johanna de La Coste;Pieter Janssoon van der II Aa;Montfoort;Christoffel Kristiaan Brender à Brandis ;;;;;;;;;;;;;;;;;;;;;
701;1717;Dirk van Lennep;Susanna Leeuw;Dirk van Lennep & Susanna Leeuw;Hendrik Blank;Haarlem;Nicolaas de Gruson ;;;;;;;;;;;;;;;;;;;;;
702;1661;Johannes Leusden;Elisabeth Nyepoort;Johannes Leusden & Elisabeth Nyepoort;Meinardus van Dreunen;Amsterdam;Matthias Nethenus ;Petrus van Balen ;T.Is Hooghgenoch ;;;;;;;;;;;;;;;;;;;
703;;Daam van Leuve;Sara van Leuve;Daam van Leuve & Sara van Leuve;Arentsz;Amsterdam;Roeland van Leuve ;;;;;;;;;;;;;;;;;;;;;
704;1720;Willem baron van IV Liere;Louisa Isabella barones van Brakel;Willem baron van IV Liere & Louisa Isabella barones van Brakel;Jan van Damme;;T. Wavelhoorn ;;;;;;;;;;;;;;;;;;;;;
705;1723;Wilhem van Lith;Sara Salome van Orsoy;Wilhem van Lith & Sara Salome van Orsoy;Hendrik Bosch;;Hendrik Bosch ;Jan Arnold van Orsoy ;J.F. Wever ;Benedictus van Ryneveld ;Isaac van Ryneveld ;Abraham Titsingh ;Gijsbert Tysens ;Adrian de Kramer ;Harmanus Meyer ;Jacobus van der Strengh ;;;;;;;;;;;;
706;1756;Cornelis Bartholomeusz van Lommen;Sara van Buren;Cornelis Bartholomeusz van Lommen & Sara van Buren;Theodorus Crajenschot;;Arnoldus van der Maat ;Antoni van Lommen ;;;;;;;;;;;;;;;;;;;;
707;1756;Cornelis Bartholomeusz van Lommen;Sara van Buren;Cornelis Bartholomeusz van Lommen & Sara van Buren;Theodorus Crajenschot;Haarlem;Jacobus Crajenschot ;Maria Catharina ten Oever ;;;;;;;;;;;;;;;;;;;;
708;1737;Paulus Loot;Margareta Verhammen;Paulus Loot & Margareta Verhammen;De Broen;;;;;;;;;;;;;;;;;;;;;;;
709;1662;Jacobus Luden;Elizabeth Luden;Jacobus Luden & Elizabeth Luden;Christoffel Cunradus;;Jan van Duisbergh ;;;;;;;;;;;;;;;;;;;;;
710;1629;Lodowijck van Luydick;Sara Jans van Ypelaer;Lodowijck van Luydick & Sara Jans van Ypelaer;Jacob Aertsz Colom;Rotterdam;Josaphat Geerdinck ;;;;;;;;;;;;;;;;;;;;;
711;1723;Jacob van der Lyn;Amaranta Maria Reynst;Jacob van der Lyn & Amaranta Maria Reynst;Jan van Beyeren;Utrecht;Jacob Josias Vryburgh van de Kapelle ;Jacob Hooghcamer ;Gerardus Kempher ;Jacob Lakeman ;Maarten Kind ;S.E.C.U.N.D.U.S.;;;;;;;;;;;;;;;;
712;1631;Françoys Maes;Tanneken Triers;Françoys Maes & Tanneken Triers;Jan Pietersz de Does;Enkhuizen;;;;;;;;;;;;;;;;;;;;;;
713;1634;Petrus Magerus;Gerritgen Joris;Petrus Magerus & Gerritgen Joris;Van Dorp;Haarlem;Lucas Meysterus ;M. Seroyen ;Johannes de Laet ;;;;;;;;;;;;;;;;;;;
714;1756;Jan Maree;Elizabeth Gerritzen Klyn;Jan Maree & Elizabeth Gerritzen Klyn;Theodorus Crajenschot;Den Haag;Geertruida Maree ;Maria Maree ;;;;;;;;;;;;;;;;;;;;
715;1724;Hendrik Martyn;Hillegonda van Delden;Hendrik Martyn & Hillegonda van Delden;Willem Barents;Schoonhoven;Pieter Martyn ;Willem Barents ;Jan Ys ;Gijsbert Tysens ;;;;;;;;;;;;;;;;;;
716;1750;David Melissen;Cornelia Polster;David Melissen & Cornelia Polster;De Broen;Den Haag;Nicolaas Faas ;;;;;;;;;;;;;;;;;;;;;
717;1628;Jacob van der Merckt;Petronella Witsen;Jacob van der Merckt & Petronella Witsen;Abraham Biestkens;Dordrecht;;;;;;;;;;;;;;;;;;;;;;
718;1697;Johannes van der Mersch;Petronella van Oosterwyk;Johannes van der Mersch & Petronella van Oosterwyk;Boeteman;Leiden;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
719;1716;Theodore François de Mey;Kornelia Vingerhoedt;Theodore François de Mey & Kornelia Vingerhoedt;Johan van Doesburg;Amsterdam;Gysbert Bremer ;;;;;;;;;;;;;;;;;;;;;
720;1723;Harmanus Meyer;Helena van Arrewyne;Harmanus Meyer & Helena van Arrewyne;Cornelis van Arrewyne;Amsterdam;Johanna van Arrewyne ;Claas Bruin ;Hubert Kornelisz Poot ;Adriaan de Kramer ;Abraham Titsingh ;Hendrik Smets ;Marten Smets ;Harmanus Meyer ;;;;;;;;;;;;;;
721;1732;Johannes Meyer;Clara Bel;Johannes Meyer & Clara Bel;Gerrit Bouman;Leiden;Magdalena Reen geb. Pollius ;A. Grendel ;Claas Bruin ;Jacobus van der Strengh ;Lucas Pater ;Bernardus de Bosch ;Johannes Meyer ; ; ;;;;;;;;;;;;;
722;1753;Christoffel Meylink;Henrica Seyger;Christoffel Meylink & Henrica Seyger;Theodorus Crajenschot;Amsterdam;Antonius Christianus Meylink ;Joannes Meylink ;Catharina Margareta Meylink ;Maria Agnes Meylink ; ; ;;;;;;;;;;;;;;;;
723;1727;Willem van der Moesel;Catharina Margreta Rokogh;Willem van der Moesel & Catharina Margreta Rokogh;Willem Barents;;Antonia F.R. Bakx ;;;;;;;;;;;;;;;;;;;;;
724;1706;Hero Mooy;Catharina de Vlieger;Hero Mooy & Catharina de Vlieger;Boeteman;Amsterdam;L. Kramp ;Hendrik van de Gaete ;Lambert van den Bosch ;;;;;;;;;;;;;;;;;;;
