0;Jaar;Bruidegom;Bruid;Bruidspaar;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
103;1703;Pieter Noortdyk;Kornelia de Veer;Pieter Noortdyk & Kornelia de Veer;Arentsz;Amsterdam;Adriaan Spinniker ;Ludolph Smids ;Jan de Regt ;Dirk Smout ;;;;;;;;;;;;;;;;;;
104;1704;Herman ten Kate;Geertruid van Gelein;Herman ten Kate & Geertruid van Gelein;Arentsz;Franeker;Adriaan Spinniker ;Cornelis van Eeke ;;;;;;;;;;;;;;;;;;;;
105;1704;Ewoud van der Dussen;Catharina Maria Vallensis;Ewoud van der Dussen & Catharina Maria Vallensis;;Amsterdam;Paulus Bosveld ;C. Breydel ;A.R.;;;;;;;;;;;;;;;;;;;
106;1706;Jan de Heger;Margrieta van Leuve;Jan de Heger & Margrieta van Leuve;Arentsz;;Roeland van Leuve ;D.J.H.;F.V.A.Jz;;;;;;;;;;;;;;;;;;;
107;1687;Gerard de Beveren;Anna Eling;Gerard de Beveren & Anna Eling;Mattheus van Nispen;Zwolle;David van Hoogstraten ;;;;;;;;;;;;;;;;;;;;;
108;1707;Pieter Carstenson;Margareta de Lover;Pieter Carstenson & Margareta de Lover;Jacob Brouwer;Amsterdam;Regnerus de Lover ;;;;;;;;;;;;;;;;;;;;;
109;1707;Salomon Verschuilenburch;Geertruida van Duren;Salomon Verschuilenburch & Geertruida van Duren;Evert Cramer;Enkhuizen;A.W. van Limburch ;T.V.V.;;;;;;;;;;;;;;;;;;;;
110;1707;Hendrik Hobrink;Maria Bruyn;Hendrik Hobrink & Maria Bruyn;Carel Allard;Rotterdam;L. Hobrink ;Abraham Allard ;Kornelis Willemsz. Westerbaen ;J.V.;M.B.;;;;;;;;;;;;;;;;;
111;1708;Alexander van Leuvenig;Anna Schorn;Alexander van Leuvenig & Anna Schorn;Lambert Bertus;Amsterdam;J. Helgers ;Bartholomeus van Leuvenig ;I.D.B.;;;;;;;;;;;;;;;;;;;
112;1696;Joan van der Helst;Petronella Hobbe;Joan van der Helst & Petronella Hobbe;Boeteman;Amsterdam;R. Stapel ;;;;;;;;;;;;;;;;;;;;;
113;1678;Jacob Trist;Anna van den Bogaard;Jacob Trist & Anna van den Bogaard;Cornelis Dijvoort;Den Haag;Jacobus Kuyleman ;;;;;;;;;;;;;;;;;;;;;
114;1680;Gillis de Koker;Hester Liemans;Gillis de Koker & Hester Liemans;Aris Akersloot;Amsterdam;Jacobus Kuyleman ;;;;;;;;;;;;;;;;;;;;;
