0;Datum;Jaar;Bruidegom;Bruid;Drukker;Plaats;Auteur1;Auteur2;Auteur3;Auteur4;Auteur5;Auteur6;Auteur7;Auteur8;Auteur9;Auteur10;Auteur11;Auteur12;Auteur13;Auteur14;Auteur15;Auteur16;Auteur17;Auteur18;Auteur19;Auteur20;Auteur21;Auteur22
184;1693-04-05;1693;Jan Dop;Maria Bording;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
185;1698-03-18;1698;Hieronymus Simonsz van Alphen;Martina Biler;Gerardus I Borstius;Dordrecht;Johannes d' Outrein ;Johan baron van Arnhem ;Hieronymus Simonsz van Alphen ;;;;;;;;;;;;;;;;;;;
186;1675-04-22;1675;Engelbert Engelen;Sophia Engelen;Jacob van Biesen;Amsterdam;Theodorus Brandolphus ;;;;;;;;;;;;;;;;;;;;;
188;1670-02-16;1670;Joan Flodorp;Catharina Willems Jeeuwels;Cornelis Croock;Amsterdam;Jan Cos ;;;;;;;;;;;;;;;;;;;;;
189;1696-05-20;1696;Willem Fremery;Margarieta Kroon;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
191;1684-01-30;1684;Jan Haring;Anna van der Schuuren;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
192;1663-09-11;1663;Nicolaus Haring;Susanna Marcus;Marcus Willemsz Doornick;Amsterdam;;;;;;;;;;;;;;;;;;;;;;
193;1682-10-11;1682;Gerbrant Hartzen;Ida Blok;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
194;1696-04-08;1696;Izaak van Hoven;Anna van der Vecht;Boeteman;Hamburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
195;1692-04-07;1692;Philip van Kemmena;Katarina Elizabet van Thoor;Boeteman;Amsterdam;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
196;1691-07-29;1691;Jan van Koppenol;Cornelia Aartsen;Boeteman;Maassluis;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
197;1693-02-08;1693;Geerling Kops;Sara Teyler;Boeteman;Middelburg;Anthony Jansen ;;;;;;;;;;;;;;;;;;;;;
